timestamp,korrekt,entscheidung,log_score,posterior,max_abs_z,llr_margin
2026-07-19T23:36:01,ja,accept,-0.1946,1.0,1.3125,88.5187
2026-07-19T23:36:00,ja,accept,-0.2631,1.0,2.6624,88.3876
2026-07-19T23:35:59,nein,reject,,,,
2026-07-19T23:35:58,ja,accept,-0.2167,1.0,2.3421,43.4071
2026-07-19T23:35:58,nein,accept,-0.2374,1.0,1.8857,56.3944
2026-07-19T23:35:57,nein,accept,-0.0945,1.0,1.1148,56.0869
2026-07-19T23:35:56,ja,accept,-0.2374,1.0,1.8857,56.3944
2026-07-19T23:35:56,ja,accept,-0.0945,1.0,1.1148,56.0869
2026-07-19T23:35:55,ja,accept,-0.4081,1.0,2.6827,
2026-07-19T23:35:54,ja,accept,-0.2847,1.0,2.4523,
2026-07-19T23:35:54,ja,accept,-0.3035,1.0,2.3341,54.0871
2026-07-19T23:35:53,ja,accept,-0.2124,1.0,2.2471,54.5965
2026-07-19T23:35:52,ja,accept,-0.2137,1.0,1.416,
2026-07-19T23:35:52,ja,accept,-0.1341,1.0,1.4154,
